id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relation_ships,attribute_object,attribute_event
order_9,Place Order,2026-03-19 19:40:44,2026-03-19 22:45:31,2026-03-19 23:34:40,Role 1,Sue,12,38,39,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,7,['Place Order'],"{'item_9_1', 'item_9_0'}",{},{}
item_0_2,Select,2026-03-19 23:02:54,2026-03-20 00:00:00,2026-03-20 00:06:22,Role Order 1,Sue,39,39,41,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",0.5,0,['Select'],{'order_0'},{'Price': 841},{}
item_9_0,Select,2026-03-19 23:34:40,2026-03-20 00:00:00,2026-03-20 00:07:28,Role Order 1,Pete,41,41,41,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_9'},{'Price': 401},{}
item_0_2,Remove Item,2026-03-20 00:06:22,2026-03-20 00:07:28,2026-03-20 00:11:38,Role Order 1,Pete,41,41,41,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,1,"['Select', 'Remove Item']",{'order_0'},{'Price': 841},{}
item_8_0,Pick Item,2026-03-19 22:57:24,2026-03-20 00:00:00,2026-03-20 00:14:46,Role Order 2,Bob,38,39,40,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_8'},{'Price': 275},{}
item_9_1,Select,2026-03-19 23:34:40,2026-03-20 00:06:22,2026-03-20 00:18:24,Role Order 1,Sue,41,41,40,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_9'},{'Price': 527},{}
item_9_0,Pick Item,2026-03-20 00:07:28,2026-03-20 00:14:46,2026-03-20 00:18:49,Role Order 2,Bob,41,40,40,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_9'},{'Price': 401},{}
item_9_1,Pick Item,2026-03-20 00:18:24,2026-03-20 00:18:49,2026-03-20 00:27:37,Role Order 2,Bob,40,40,40,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_9'},{'Price': 527},{}
order_10,Place Order,2026-03-19 19:46:01,2026-03-20 00:00:00,2026-03-20 00:41:10,Role 1,Pete,13,39,40,2,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,8,['Place Order'],"{'item_10_1', 'item_10_0'}",{},{}
item_10_1,Select,2026-03-20 00:41:10,2026-03-20 00:41:10,2026-03-20 00:43:07,Role Order 1,Sue,42,42,42,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_10'},{'Price': 88},{}
item_10_1,Pick Item,2026-03-20 00:43:07,2026-03-20 00:43:07,2026-03-20 00:48:22,Role Order 2,Bob,42,42,42,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_10'},{'Price': 88},{}
